neg,neu,pos,compound,date
0.136,0.746,0.118,-0.1441,2020-02-28T14:15:49+0000
0.129,0.744,0.128,-0.5742,2020-02-28T14:45:16+0000
0.126,0.791,0.083,-0.9796,2020-02-28T18:00:18+0000
0.141,0.647,0.213,0.9919,2020-02-28T20:04:53+0000
0.089,0.802,0.109,0.9374,2020-02-28T21:03:37+0000
0.133,0.737,0.13,0.0586,2020-02-28T23:25:07+0000
0.125,0.765,0.11,-0.944,2020-02-29T00:00:06+0000
0.135,0.678,0.187,0.9914,2020-02-29T05:06:09+0000
0.146,0.73,0.124,-0.9957,2020-02-29T05:12:52+0000
0.052,0.728,0.22,0.9974,2020-02-29T10:00:11+0000
0.073,0.846,0.08,0.7674,2020-02-29T10:00:11+0000
0.127,0.735,0.138,0.774,2020-02-29T12:00:07+0000
0.109,0.78,0.111,-0.5116,2020-02-29T15:35:51+0000
0.089,0.83,0.081,-0.9653,2020-02-29T19:02:56+0000
0.109,0.748,0.143,0.7906,2020-02-29T20:56:37+0000
0.065,0.855,0.08,0.9509,2020-02-29T23:30:15+0000
0.203,0.642,0.155,-0.936,2020-03-01T04:04:45+0000
0.125,0.745,0.131,0.1722,2020-03-01T08:00:08+0000
0.093,0.765,0.142,0.9763,2020-03-01T12:00:08+0000
0.133,0.772,0.095,-0.9717,2020-03-01T16:09:13+0000
0.176,0.731,0.094,-0.9919,2020-03-01T20:00:06+0000
0.13,0.734,0.136,-0.079,2020-03-01T20:55:33+0000
0.183,0.657,0.16,-0.9727,2020-03-01T21:12:51+0000
0.132,0.722,0.146,0.8608,2020-03-01T21:40:34+0000
0.149,0.705,0.146,-0.2627,2020-03-01T21:46:07+0000
0.073,0.792,0.135,0.9933,2020-03-01T23:40:14+0000
0.094,0.841,0.065,-0.9434,2020-03-02T01:08:14+0000
0.161,0.734,0.106,-0.9961,2020-03-02T02:06:00+0000
0.097,0.778,0.125,0.9022,2020-03-02T04:04:57+0000
0.122,0.75,0.127,-0.4527,2020-03-02T04:39:16+0000
0.108,0.749,0.144,0.9926,2020-03-02T05:15:45+0000
0.133,0.742,0.124,-0.9912,2020-03-02T05:25:53+0000
0.081,0.782,0.137,0.9918,2020-03-02T10:00:09+0000
0.154,0.742,0.104,-0.9908,2020-03-02T12:45:56+0000
0.133,0.731,0.136,-0.74,2020-03-02T17:31:06+0000
0.095,0.841,0.064,-0.8932,2020-03-02T17:35:23+0000
0.117,0.758,0.125,0.8085,2020-03-02T19:10:20+0000
0.183,0.675,0.142,-0.9914,2020-03-02T20:00:11+0000
0.037,0.835,0.128,0.8126,2020-03-02T21:01:22+0000
0.084,0.85,0.066,-0.9799,2020-03-03T01:03:55+0000
0.066,0.848,0.087,0.9726,2020-03-03T01:47:56+0000
0.12,0.818,0.062,-0.8442,2020-03-03T02:14:39+0000
0.101,0.76,0.139,0.9886,2020-03-03T04:15:56+0000
0.145,0.714,0.141,-0.0772,2020-03-03T08:47:45+0000
0.076,0.704,0.22,0.9977,2020-03-03T10:00:22+0000
0.201,0.699,0.101,-0.9984,2020-03-03T10:05:48+0000
0.041,0.883,0.076,0.9821,2020-03-03T10:08:34+0000
0.187,0.705,0.108,-0.9978,2020-03-03T10:24:59+0000
0.142,0.689,0.169,0.9638,2020-03-03T12:37:05+0000
0.06,0.83,0.11,0.9886,2020-03-03T13:02:52+0000
0.186,0.698,0.117,-0.9918,2020-03-03T13:16:33+0000
0.174,0.742,0.084,-0.9994,2020-03-03T14:59:52+0000
