neg,neu,pos,compound,date
0.175,0.699,0.126,-0.983,2020-03-13T09:00:32+0000
0.057,0.821,0.122,0.9916,2020-03-13T09:00:33+0000
0.105,0.765,0.13,0.9623,2020-03-13T09:00:33+0000
0.038,0.824,0.138,0.9985,2020-03-13T09:00:34+0000
0.082,0.777,0.142,0.9938,2020-03-13T09:00:40+0000
0.09,0.813,0.096,0.8587,2020-03-13T09:32:31+0000
0.06,0.857,0.084,0.984,2020-03-13T11:23:57+0000
0.054,0.834,0.112,0.991,2020-03-13T12:10:58+0000
0.157,0.765,0.078,-0.9964,2020-03-13T12:40:44+0000
0.101,0.759,0.139,0.1139,2020-03-13T12:43:56+0000
0.037,0.728,0.235,0.9989,2020-03-13T14:25:17+0000
0.07,0.85,0.08,0.7625,2020-03-13T15:55:46+0000
0.106,0.779,0.115,0.8889,2020-03-13T16:58:08+0000
0.049,0.805,0.146,0.9944,2020-03-13T17:08:50+0000
0.046,0.885,0.069,0.981,2020-03-13T17:11:31+0000
0.163,0.722,0.115,-0.98,2020-03-13T17:31:17+0000
0.181,0.683,0.136,-0.9843,2020-03-13T18:03:34+0000
0.1,0.767,0.133,0.9728,2020-03-13T19:12:12+0000
0.102,0.73,0.168,0.9965,2020-03-13T19:22:18+0000
0.063,0.845,0.092,0.9851,2020-03-13T19:29:26+0000
0.056,0.819,0.126,0.9899,2020-03-13T20:18:54+0000
0.115,0.732,0.153,0.9739,2020-03-13T21:22:47+0000
0.071,0.866,0.062,-0.9639,2020-03-13T21:42:47+0000
0.284,0.603,0.113,-0.9988,2020-03-13T21:52:05+0000
0.113,0.736,0.151,0.9729,2020-03-13T22:11:40+0000
0.056,0.842,0.101,0.9861,2020-03-13T22:22:19+0000
0.109,0.777,0.114,0.7048,2020-03-13T22:59:13+0000
0.099,0.782,0.118,0.8284,2020-03-13T23:09:42+0000
0.058,0.79,0.152,0.9988,2020-03-13T23:22:15+0000
0.194,0.674,0.132,-0.9841,2020-03-13T23:41:32+0000
0.151,0.764,0.084,-0.9932,2020-03-14T00:00:55+0000
0.071,0.851,0.078,0.4434,2020-03-14T00:52:43+0000
0.166,0.766,0.068,-0.9896,2020-03-14T02:17:19+0000
0.056,0.817,0.127,0.9932,2020-03-14T02:18:09+0000
0.086,0.746,0.168,0.9927,2020-03-14T07:00:07+0000
0.088,0.787,0.125,0.988,2020-03-14T09:00:09+0000
0.055,0.838,0.107,0.9843,2020-03-14T09:00:10+0000
0.21,0.642,0.148,-0.9982,2020-03-14T09:00:18+0000
0.053,0.79,0.157,0.9996,2020-03-14T09:00:19+0000
0.085,0.759,0.157,0.9982,2020-03-14T09:00:21+0000
0.04,0.913,0.046,0.4588,2020-03-14T12:39:51+0000
0.061,0.799,0.14,0.9928,2020-03-14T14:40:16+0000
0.214,0.595,0.191,-0.9464,2020-03-14T15:00:07+0000
0.089,0.797,0.114,0.9871,2020-03-14T15:12:08+0000
0.117,0.809,0.074,-0.9985,2020-03-14T15:54:23+0000
0.069,0.808,0.122,0.9457,2020-03-14T15:54:57+0000
0.137,0.73,0.133,-0.8266,2020-03-14T17:01:04+0000
0.111,0.776,0.113,0.2748,2020-03-14T18:25:21+0000
0.122,0.755,0.123,-0.1531,2020-03-14T18:56:18+0000
0.126,0.693,0.18,0.9608,2020-03-14T19:00:07+0000
0.125,0.774,0.101,-0.979,2020-03-14T19:32:37+0000
0.162,0.63,0.208,0.9554,2020-03-14T19:34:58+0000
0.194,0.689,0.117,-0.9982,2020-03-14T19:37:14+0000
0.092,0.813,0.096,-0.0726,2020-03-14T19:42:17+0000
0.116,0.769,0.115,-0.8442,2020-03-14T19:55:58+0000
0.07,0.784,0.146,0.9923,2020-03-14T20:02:20+0000
0.098,0.784,0.119,0.8402,2020-03-14T23:18:16+0000
0.107,0.793,0.1,-0.7727,2020-03-15T00:11:03+0000
0.173,0.72,0.107,-0.9868,2020-03-15T09:00:08+0000
0.063,0.845,0.091,0.9877,2020-03-15T09:00:15+0000
0.1,0.814,0.086,-0.961,2020-03-15T09:00:28+0000
0.1,0.744,0.155,0.9996,2020-03-15T12:00:08+0000
0.172,0.723,0.106,-0.9607,2020-03-15T12:21:44+0000
0.097,0.817,0.085,-0.8074,2020-03-15T12:55:25+0000
0.101,0.807,0.091,0.8545,2020-03-15T13:01:32+0000
0.027,0.842,0.132,0.9981,2020-03-15T14:40:36+0000
0.194,0.716,0.09,-0.9989,2020-03-15T17:10:55+0000
0.216,0.632,0.152,-0.9977,2020-03-15T17:14:20+0000
0.054,0.837,0.109,0.9926,2020-03-15T17:48:58+0000
0.135,0.777,0.088,-0.9752,2020-03-15T18:40:17+0000
0.106,0.73,0.164,0.9927,2020-03-15T18:48:48+0000
0.069,0.743,0.189,0.9984,2020-03-15T19:00:08+0000
0.074,0.827,0.099,0.9473,2020-03-15T19:44:06+0000
0.087,0.8,0.114,0.9781,2020-03-15T20:36:48+0000
0.128,0.722,0.149,0.9631,2020-03-15T21:00:28+0000
0.166,0.74,0.094,-0.991,2020-03-15T21:02:55+0000
0.104,0.724,0.172,0.9509,2020-03-15T21:59:55+0000
0.131,0.695,0.174,0.982,2020-03-15T22:04:20+0000
0.144,0.686,0.17,0.9574,2020-03-15T22:23:46+0000
0.063,0.782,0.154,0.9967,2020-03-15T22:54:12+0000
0.122,0.699,0.179,0.9968,2020-03-16T01:56:37+0000
0.081,0.775,0.144,0.9952,2020-03-16T04:55:51+0000
0.151,0.773,0.076,-0.9964,2020-03-16T06:05:54+0000
0.103,0.737,0.16,0.9896,2020-03-16T09:00:04+0000
0.14,0.594,0.266,0.9986,2020-03-16T09:00:07+0000
0.111,0.708,0.181,0.9922,2020-03-16T09:00:18+0000
0.042,0.869,0.09,0.9941,2020-03-16T09:17:55+0000
0.038,0.881,0.081,0.8779,2020-03-16T09:57:35+0000
0.1,0.823,0.077,-0.9864,2020-03-16T11:18:27+0000
0.163,0.695,0.142,-0.9788,2020-03-16T11:30:16+0000
0.119,0.712,0.169,0.9949,2020-03-16T13:01:49+0000
0.094,0.817,0.089,-0.34,2020-03-16T14:56:41+0000
0.089,0.763,0.147,0.9948,2020-03-16T15:27:05+0000
0.069,0.83,0.101,0.9889,2020-03-16T15:31:10+0000
0.037,0.872,0.09,0.9956,2020-03-16T17:48:52+0000
0.126,0.752,0.121,-0.74,2020-03-16T18:29:36+0000
0.125,0.772,0.103,-0.9144,2020-03-16T18:36:02+0000
0.052,0.789,0.16,0.9977,2020-03-16T18:39:20+0000
0.04,0.846,0.114,0.9884,2020-03-16T18:54:21+0000
0.078,0.777,0.145,0.9967,2020-03-16T18:59:05+0000
0.112,0.774,0.115,-0.2732,2020-03-16T19:07:17+0000
0.073,0.848,0.079,-0.079,2020-03-16T20:02:36+0000
0.107,0.76,0.133,0.9506,2020-03-16T20:51:43+0000
0.073,0.739,0.188,0.9981,2020-03-16T22:17:31+0000
0.128,0.743,0.129,0.7934,2020-03-16T22:26:29+0000
0.078,0.8,0.122,0.9601,2020-03-16T22:28:39+0000
0.125,0.786,0.089,-0.9636,2020-03-16T22:28:44+0000
0.173,0.685,0.142,-0.9794,2020-03-16T23:00:07+0000
0.102,0.807,0.091,-0.8811,2020-03-16T23:15:39+0000
0.073,0.846,0.082,0.6806,2020-03-16T23:27:18+0000
0.069,0.884,0.047,-0.5574,2020-03-16T23:40:30+0000
0.106,0.754,0.14,0.9842,2020-03-16T23:56:05+0000
0.134,0.828,0.038,-0.9101,2020-03-17T00:07:35+0000
0.118,0.717,0.164,0.9565,2020-03-17T00:21:47+0000
0.185,0.721,0.094,-0.9954,2020-03-17T00:45:13+0000
0.103,0.807,0.09,-0.9608,2020-03-17T04:04:57+0000
0.165,0.743,0.092,-0.9976,2020-03-17T05:17:43+0000
0.099,0.788,0.113,0.5434,2020-03-17T09:00:09+0000
0.174,0.656,0.17,-0.8625,2020-03-17T09:00:11+0000
0.092,0.793,0.115,0.9231,2020-03-17T09:00:18+0000
0.101,0.807,0.092,-0.9329,2020-03-17T09:00:19+0000
0.116,0.804,0.081,-0.9712,2020-03-17T09:00:22+0000
0.145,0.681,0.173,0.9578,2020-03-17T09:00:24+0000
0.054,0.858,0.088,0.9883,2020-03-17T09:00:24+0000
0.107,0.794,0.1,0.1181,2020-03-17T09:00:24+0000
0.127,0.76,0.113,-0.9245,2020-03-17T09:00:24+0000
0.069,0.714,0.217,0.9985,2020-03-17T09:00:25+0000
0.039,0.78,0.181,0.9986,2020-03-17T09:00:47+0000
0.037,0.879,0.085,0.9118,2020-03-17T10:00:06+0000
