Company Name;Exchange:Ticker;Currency;Market Cap (mm) [Latest]*†;Revenue (mm);% Price Change [Last Day];% Price Change [30 Day];% Price Change [YTD];% Price Change [12 Month];Price Close;P/E*†;P/BV*†;Primary Industry;cap_01012020;cap_11212020;% Change between Jan and Nov 2020
Atmos Energy Corporation;NYSE:ATO;USD;12043,84;2821,14;0.60%;0.14%;(14.47%);(12.06%);95,67;19.56x;1.76x;Gas Utilities; 13.676 ; 12.044 ;-11,9%
Autodesk, Inc.;NasdaqGS:ADSK;USD;55892,07;3540,8;(0.77%);0.35%;38.93%;54.17%;254,89;156.42x;NM;Application Software; 40.367 ; 55.892 ;38,5%
Automatic Data Processing, Inc.;NasdaqGS:ADP;USD;73442,97;14564,8;(1.36%);16.63%;0.45%;0.40%;171,27;29.73x;12.83x;Data Processing and Outsourced Services; 73.775 ; 73.443 ;-0,5%
AutoZone, Inc.;NYSE:AZO;USD;25822,2;12631,97;(1.73%);(5.43%);(6.47%);(3.92%);1114,2;15.49x;NM;Automotive Retail; 28.106 ; 25.822 ;-8,1%
AvalonBay Communities, Inc.;NYSE:AVB;USD;23949,75;2347,87;0.94%;17.76%;(18.03%);(20.55%);171,9;36.92x;2.22x;Residential REITs; 29.222 ; 23.950 ;-18,0%
Avery Dennison Corporation;NYSE:AVY;USD;12304,11;6753,5;0.32%;3.47%;12.75%;11.94%;147,5;23.57x;9.19x;Paper Packaging; 10.924 ; 12.304 ;12,6%
Baker Hughes Company;NYSE:BKR;USD;12488,73;21558;(0.55%);29.70%;(28.95%);(18.78%);18,21;NM;1.08x;Oil and Gas Equipment and Services; 16.656 ; 12.489 ;-25,0%
Ball Corporation;NYSE:BLL;USD;31811,61;11398;(0.67%);4.82%;50.38%;44.20%;97,25;62.67x;11.09x;Metal and Glass Containers; 21.155 ; 31.812 ;50,4%
Bank of America Corporation;NYSE:BAC;USD;231927,67;75570;(0.63%);11.48%;(23.88%);(17.99%);26,81;13.21x;0.95x;Diversified Banks; 316.808 ; 231.928 ;-26,8%
Baxter International Inc.;NYSE:BAX;USD;39343,23;11531;(2.36%);(5.77%);(7.89%);(6.07%);77,02;43.59x;4.70x;Health Care Equipment; 42.693 ; 39.343 ;-7,8%
Becton, Dickinson and Company;NYSE:BDX;USD;67211,82;17117;(0.44%);(1.92%);(14.74%);(6.04%);231,87;85.56x;2.84x;Health Care Equipment; 73.707 ; 67.212 ;-8,8%
Berkshire Hathaway Inc.;NYSE:BRK.B;USD;532811,57;247981;(1.10%);8.01%;0.23%;4.38%;227,01;0.01x;1.31x;Multi-Sector Holdings; 553.690 ; 532.812 ;-3,8%
Best Buy Co., Inc.;NYSE:BBY;USD;30837,26;43432;0.26%;0.38%;35.69%;60.67%;119,14;19.27x;8.11x;Computer and Electronics Retail; 22.721 ; 30.837 ;35,7%
Biogen Inc.;NasdaqGS:BIIB;USD;37570,19;14263,3;0.06%;(9.21%);(17.72%);(14.45%);244,15;8.04x;3.49x;Biotechnology; 53.543 ; 37.570 ;-29,8%
Bio-Rad Laboratories, Inc.;NYSE:BIO;USD;17004,93;2380,22;(0.77%);1.89%;54.04%;57.09%;569,98;4.88x;1.94x;Life Sciences Tools and Services; 11.075 ; 17.005 ;53,5%
BlackRock, Inc.;NYSE:BLK;USD;102595,48;15704;(0.11%);5.94%;33.82%;37.62%;672,71;22.34x;3.03x;Asset Management and Custody Banks; 78.006 ; 102.595 ;31,5%
Booking Holdings Inc.;NasdaqGS:BKNG;USD;81613,72;8897;(0.91%);17.08%;(2.97%);7.61%;1992,77;59.16x;16.76x;Internet and Direct Marketing Retail; 85.960 ; 81.614 ;-5,1%
BorgWarner Inc.;NYSE:BWA;USD;9184,12;8798;(0.40%);(5.20%);(13.42%);(10.61%);37,56;21.34x;1.94x;Auto Parts and Equipment; 8.958 ; 9.184 ;2,5%
Boston Properties, Inc.;NYSE:BXP;USD;15313,79;2801,01;0.99%;29.36%;(28.64%);(28.74%);98,38;15.37x;2.56x;Office REITs; 21.316 ; 15.314 ;-28,2%
Boston Scientific Corporation;NYSE:BSX;USD;48255,75;10108;(1.49%);(9.29%);(25.48%);(20.91%);33,7;12.93x;3.15x;Health Care Equipment; 63.029 ; 48.256 ;-23,4%
Bristol-Myers Squibb Company;NYSE:BMY;USD;139223,29;39395;(0.77%);2.63%;(4.02%);9.22%;61,61;NM;2.80x;Pharmaceuticals; 150.473 ; 139.223 ;-7,5%
Broadcom Inc.;NasdaqGS:AVGO;USD;155057,5;23197;(0.26%);3.03%;21.30%;22.99%;383,33;71.96x;6.59x;Semiconductors; 125.710 ; 155.057 ;23,3%
Broadridge Financial Solutions, Inc.;NYSE:BR;USD;16755,57;4597,8;(1.15%);0.28%;17.31%;18.36%;144,92;35.97x;11.99x;Data Processing and Outsourced Services; 14.163 ; 16.756 ;18,3%
Brown-Forman Corporation;NYSE:BF.B;USD;36942,14;3350;(0.47%);6.72%;17.99%;19.04%;79,76;39.88x;17.83x;Distillers and Vintners; 31.486 ; 36.942 ;17,3%
C.H. Robinson Worldwide, Inc.;NasdaqGS:CHRW;USD;12587,25;15450,98;(1.26%);(8.12%);18.40%;22.54%;92,59;27.52x;6.80x;Air Freight and Logistics; 10.577 ; 12.587 ;19,0%
Cabot Oil & Gas Corporation;NYSE:COG;USD;6803,76;1455,59;(0.64%);(11.00%);(1.95%);4.15%;17,07;32.11x;3.23x;Oil and Gas Exploration and Production; 7.102 ; 6.804 ;-4,2%
Cadence Design Systems, Inc.;NasdaqGS:CDNS;USD;31460,63;2522,54;0.17%;1.40%;62.62%;66.60%;112,79;29.24x;13.11x;Application Software; 19.462 ; 31.461 ;61,7%
Campbell Soup Company;NYSE:CPB;USD;14805,24;8691;(0.69%);2.58%;(0.89%);1.45%;48,98;25.12x;5.81x;Packaged Foods and Meats; 14.908 ; 14.805 ;-0,7%
Capital One Financial Corporation;NYSE:COF;USD;38229,25;16795;(1.66%);13.37%;(18.78%);(13.40%);83,58;40.32x;0.73x;Consumer Finance; 47.927 ; 38.229 ;-20,2%
Cardinal Health, Inc.;NYSE:CAH;USD;15216,79;154646;(0.82%);8.43%;2.53%;(6.41%);51,86;15.58x;10.81x;Health Care Distributors; 14.794 ; 15.217 ;2,9%
CarMax, Inc.;NYSE:KMX;USD;15514,41;19478,27;0.02%;5.28%;7.85%;(5.04%);94,55;22.67x;3.90x;Automotive Retail; 14.360 ; 15.514 ;8,0%
Carnival Corporation & Plc;NYSE:CCL;USD;18104,35;10342;(4.51%);19.96%;(65.83%);(60.22%);17,37;NM;0.80x;Hotels, Resorts and Cruise Lines; 34.358 ; 18.104 ;-47,3%
Carrier Global Corporation;NYSE:CARR;USD;33402,13;17363;(1.51%);15.56%;221.17%;221.17%;38,54;21.82x;6.65x;Building Products; -   ; 33.402 ;#DIV/0!
Catalent, Inc.;NYSE:CTLT;USD;17018,2;3275,3;(0.80%);11.82%;83.53%;100.25%;103,33;65.32x;5.58x;Pharmaceuticals; 8.237 ; 17.018 ;106,6%
Caterpillar Inc.;NYSE:CAT;USD;93565,37;43657;(0.39%);2.89%;16.62%;21.70%;172,23;28.55x;6.28x;Construction Machinery and Heavy Trucks; 81.617 ; 93.565 ;14,6%
