Company Name;Exchange:Ticker;Currency;Market Cap (mm) [Latest]*†;Revenue (mm);% Price Change [Last Day];% Price Change [30 Day];% Price Change [YTD];% Price Change [12 Month];Price Close;P/E*†;P/BV*†;Primary Industry;cap_01012020;cap_11212020;% Change between Jan and Nov 2020
Lumen Technologies, Inc.;NYSE:LUMN;USD;11015,2;21836;2.24%;3.93%;(24.00%);(32.48%);10,04;8.45x;0.79x;Alternative Carriers; 14.402 ; 11.015 ;-23,5%
LyondellBasell Industries N.V.;NYSE:LYB;USD;27264,49;27995;(0.71%);6.61%;(13.58%);(11.47%);81,65;23.34x;3.76x;Commodity Chemicals; 31.501 ; 27.264 ;-13,4%
M&T Bank Corporation;NYSE:MTB;USD;15150,08;5165,1;(1.97%);19.25%;(30.43%);(27.54%);118,09;11.76x;1.04x;Regional Banks; 22.403 ; 15.150 ;-32,4%
Marathon Oil Corporation;NYSE:MRO;USD;4420,59;3532;(1.58%);36.59%;(58.76%);(52.10%);5,6;NM;0.41x;Oil and Gas Exploration and Production; 10.863 ; 4.421 ;-59,3%
Marathon Petroleum Corporation;NYSE:MPC;USD;24893,9;92755;(2.10%);32.76%;(36.50%);(38.09%);38,26;NM;1.13x;Oil and Gas Refining and Marketing; 39.122 ; 24.894 ;-36,4%
MarketAxess Holdings Inc.;NasdaqGS:MKTX;USD;20733,38;647,55;2.23%;(2.14%);44.06%;35.02%;546,14;75.22x;22.60x;Financial Exchanges and Data; 14.377 ; 20.733 ;44,2%
Marriott International, Inc.;NasdaqGS:MAR;USD;38686,29;2994;(1.51%);25.36%;(21.23%);(10.12%);119,28;221.61x;171.51x;Hotels, Resorts and Cruise Lines; 49.508 ; 38.686 ;-21,9%
Marsh & McLennan Companies, Inc.;NYSE:MMC;USD;57302,39;17072;(1.31%);0.61%;1.41%;5.43%;112,98;28.39x;6.76x;Insurance Brokers; 56.225 ; 57.302 ;1,9%
Martin Marietta Materials, Inc.;NYSE:MLM;USD;16540,03;4345,9;(1.47%);3.66%;(5.02%);0.96%;265,6;24.83x;2.92x;Construction Materials; 17.478 ; 16.540 ;-5,4%
Masco Corporation;NYSE:MAS;USD;14223,3;6967;(1.16%);(2.69%);13.77%;19.32%;54,6;19.20x;102.06x;Building Products; 13.284 ; 14.223 ;7,1%
Mastercard Incorporated;NYSE:MA;USD;322006,89;15595;(3.26%);(3.13%);8.18%;13.18%;323;48.48x;57.47x;Data Processing and Outsourced Services; 301.237 ; 322.007 ;6,9%
Maxim Integrated Products, Inc.;NasdaqGS:MXIM;USD;21509,73;2277,71;(0.87%);9.51%;30.82%;45.07%;80,47;31.79x;12.68x;Semiconductors; 16.645 ; 21.510 ;29,2%
McCormick & Company, Incorporated;NYSE:MKC;USD;24487,66;5528,2;0.23%;(5.97%);8.21%;9.36%;183,67;32.51x;6.22x;Packaged Foods and Meats; 22.572 ; 24.488 ;8,5%
McDonald's Corporation;NYSE:MCD;USD;159520,81;19034,3;(0.47%);(6.18%);8.34%;10.28%;214,09;32.66x;NM;Restaurants; 148.819 ; 159.521 ;7,2%
McKesson Corporation;NYSE:MCK;USD;27275,08;234194;(1.20%);11.30%;22.81%;12.72%;169,87;13.04x;4.69x;Health Care Distributors; 24.924 ; 27.275 ;9,4%
Medtronic plc;NYSE:MDT;USD;148100,08;27927;(0.76%);0.85%;(2.90%);(1.46%);110,16;33.79x;2.96x;Health Care Equipment; 152.066 ; 148.100 ;-2,6%
Merck & Co., Inc.;NYSE:MRK;USD;203541,27;47347;0.07%;3.05%;(11.54%);(5.65%);80,45;17.77x;6.97x;Pharmaceuticals; 231.557 ; 203.541 ;-12,1%
MetLife, Inc.;NYSE:MET;USD;41280,64;65567;0.79%;17.22%;(10.01%);(6.27%);45,87;7.51x;0.56x;Life and Health Insurance; 46.874 ; 41.281 ;-11,9%
Mettler-Toledo International Inc.;NYSE:MTD;USD;27306,64;2991,16;0.02%;11.21%;44.67%;59.90%;1147,6;48.24x;61.62x;Life Sciences Tools and Services; 19.320 ; 27.307 ;41,3%
MGM Resorts International;NYSE:MGM;USD;12946,14;6600,89;(3.78%);22.42%;(21.22%);(17.63%);26,21;8.89x;1.96x;Casinos and Gaming; 17.134 ; 12.946 ;-24,4%
Microchip Technology Incorporated;NasdaqGS:MCHP;USD;34104,07;5233;2.72%;18.56%;25.08%;43.70%;130,98;56.07x;6.10x;Semiconductors; 25.026 ; 34.104 ;36,3%
Micron Technology, Inc.;NasdaqGS:MU;USD;68351,82;21435;(0.70%);15.18%;14.17%;34.74%;61,4;25.88x;1.76x;Semiconductors; 59.743 ; 68.352 ;14,4%
Microsoft Corporation;NasdaqGS:MSFT;USD;1590652,75;147114;(0.96%);(2.05%);33.41%;40.62%;210,39;33.94x;13.02x;Systems Software; 1.203.063 ; 1.590.653 ;32,2%
Mid-America Apartment Communities, Inc.;NYSE:MAA;USD;14431,18;1671,14;0.03%;7.02%;(4.31%);(8.19%);126,18;45.48x;2.44x;Residential REITs; 15.041 ; 14.431 ;-4,1%
Mohawk Industries, Inc.;NYSE:MHK;USD;9052,9;9334,95;0.13%;27.52%;(6.77%);(9.19%);127,15;17.05x;1.11x;Home Furnishings; 9.768 ; 9.053 ;-7,3%
Molson Coors Beverage Company;NYSE:TAP;USD;9467,94;9845,9;(1.09%);25.93%;(19.18%);(16.85%);43,56;16.19x;0.71x;Brewers; 11.691 ; 9.468 ;-19,0%
Mondelez International, Inc.;NasdaqGS:MDLZ;USD;81719,5;26196;(0.80%);0.56%;3.74%;9.03%;57,14;26.97x;3.06x;Packaged Foods and Meats; 79.306 ; 81.720 ;3,0%
Monster Beverage Corporation;NasdaqGS:MNST;USD;44091,61;4419,56;(0.25%);4.28%;31.42%;44.00%;83,52;37.65x;9.55x;Soft Drinks; 34.170 ; 44.092 ;29,0%
Moody's Corporation;NYSE:MCO;USD;51268,56;5314;(0.43%);(1.52%);14.97%;21.90%;272,94;28.42x;34.40x;Financial Exchanges and Data; 44.811 ; 51.269 ;14,4%
Morgan Stanley;NYSE:MS;USD;104589,75;45415;(1.40%);14.75%;13.09%;17.74%;57,81;9.77x;1.16x;Investment Banking and Brokerage; 82.743 ; 104.590 ;26,4%
Motorola Solutions, Inc.;NYSE:MSI;USD;28361,17;7517;(1.10%);(1.87%);3.82%;0.57%;167,3;37.41x;NM;Communications Equipment; 27.609 ; 28.361 ;2,7%
MSCI Inc.;NYSE:MSCI;USD;33182,88;1658,34;(0.12%);14.37%;55.05%;56.14%;400,3;59.76x;NM;Financial Exchanges and Data; 21.870 ; 33.183 ;51,7%
Nasdaq, Inc.;NasdaqGS:NDAQ;USD;20722,87;5230;1.26%;(4.56%);17.96%;19.52%;126,33;23.14x;3.40x;Financial Exchanges and Data; 17.555 ; 20.723 ;18,0%
National Oilwell Varco, Inc.;NYSE:NOV;USD;4779,53;7044;-;36.63%;(50.86%);(42.37%);12,31;NM;0.87x;Oil and Gas Equipment and Services; 9.665 ; 4.780 ;-50,5%
NetApp, Inc.;NasdaqGS:NTAP;USD;11519,84;5479;(0.17%);10.88%;(16.64%);(15.54%);51,89;14.85x;40.63x;Technology Hardware, Storage and Peripherals; 14.207 ; 11.520 ;-18,9%
Netflix, Inc.;NasdaqGS:NFLX;USD;215701,99;23819,05;0.74%;(0.17%);50.89%;59.99%;488,24;78.85x;20.72x;Movies and Entertainment; 141.805 ; 215.702 ;52,1%
Newell Brands Inc.;NasdaqGS:NWL;USD;8642,99;9319,9;(0.10%);16.07%;5.98%;5.60%;20,37;NM;2.32x;Housewares and Specialties; 8.138 ; 8.643 ;6,2%
Newmont Corporation;NYSE:NEM;USD;49717,54;11083;0.39%;0.28%;41.89%;60.25%;61,65;20.77x;2.18x;Gold; 35.622 ; 49.718 ;39,6%
News Corporation;NasdaqGS:NWS;USD;10359,55;8785;(0.40%);26.70%;21.02%;33.64%;17,56;NM;1.36x;Publishing; 8.394 ; 10.360 ;23,4%
News Corporation;NasdaqGS:NWSA;USD;10359,55;8785;(0.17%);25.59%;23.90%;37.63%;17,52;NM;1.36x;Publishing; 8.394 ; 10.360 ;23,4%
NextEra Energy, Inc.;NYSE:NEE;USD;148008,05;18190;0.56%;1.52%;24.79%;28.48%;75,55;38.16x;3.95x;Electric Utilities; 118.362 ; 148.008 ;25,0%
Nielsen Holdings plc;NYSE:NLSN;USD;5622,73;6309;(1.99%);14.63%;(22.41%);(21.45%);15,75;NM;2.82x;Research and Consulting Services; 7.223 ; 5.623 ;-22,2%
NIKE, Inc.;NYSE:NKE;USD;208755,53;37337;0.81%;2.74%;31.26%;42.91%;132,98;78.74x;22.38x;Footwear; 158.150 ; 208.756 ;32,0%
NiSource Inc.;NYSE:NI;USD;9158,77;4867,9;1.27%;1.36%;(14.15%);(8.29%);23,9;NM;1.99x;Multi-Utilities; 10.399 ; 9.159 ;-11,9%
Norfolk Southern Corporation;NYSE:NSC;USD;61159,67;9906;(0.54%);13.29%;24.04%;26.82%;240,8;31.01x;4.12x;Railroads; 50.619 ; 61.160 ;20,8%
Northern Trust Corporation;NasdaqGS:NTRS;USD;19020,2;6000,1;(2.11%);6.55%;(13.98%);(14.03%);91,39;15.10x;1.82x;Asset Management and Custody Banks; 22.510 ; 19.020 ;-15,5%
Northrop Grumman Corporation;NYSE:NOC;USD;51085,11;35308;(0.99%);(0.63%);(10.92%);(13.20%);306,42;21.02x;4.93x;Aerospace and Defense; 57.970 ; 51.085 ;-11,9%
NortonLifeLock Inc.;NasdaqGS:NLOK;USD;10813,46;2472;(2.14%);(12.21%);(28.41%);(25.61%);18,27;13.97x;NM;Systems Software; 15.905 ; 10.813 ;-32,0%
Norwegian Cruise Line Holdings Ltd.;NYSE:NCLH;USD;6309,56;2750,95;(4.90%);17.66%;(65.78%);(62.13%);19,99;NM;1.42x;Hotels, Resorts and Cruise Lines; 12.427 ; 6.310 ;-49,2%
NRG Energy, Inc.;NYSE:NRG;USD;7458,5;9261;(1.39%);(6.12%);(23.17%);(22.96%);30,54;1.83x;3.91x;Electric Utilities; 10.001 ; 7.459 ;-25,4%
Nucor Corporation;NYSE:NUE;USD;15866,37;20011,35;(0.53%);8.48%;(6.63%);(2.87%);52,55;37.27x;1.55x;Steel; 17.065 ; 15.866 ;-7,0%
NVIDIA Corporation;NasdaqGS:NVDA;USD;324052,69;14777;(2.62%);(3.23%);122.49%;147.90%;523,51;85.58x;21.70x;Semiconductors; 144.004 ; 324.053 ;125,0%
NVR, Inc.;NYSE:NVR;USD;15477,37;7209,13;(1.31%);(1.99%);9.23%;14.53%;4160,1;19.10x;5.37x;Homebuilding; 14.072 ; 15.477 ;10,0%
Occidental Petroleum Corporation;NYSE:OXY;USD;12562,02;19759;0.97%;39.65%;(67.27%);(64.94%);13,49;NM;1.23x;Integrated Oil and Gas; 36.814 ; 12.562 ;-65,9%
Old Dominion Freight Line, Inc.;NasdaqGS:ODFL;USD;24125,69;3950,95;0.04%;4.76%;62.52%;61.39%;205,62;38.98x;7.61x;Trucking; 15.149 ; 24.126 ;59,3%
Omnicom Group Inc.;NYSE:OMC;USD;12823,17;13555,3;0.44%;15.83%;(26.38%);(23.03%);59,65;13.45x;4.84x;Advertising; 17.641 ; 12.823 ;-27,3%
ONEOK, Inc.;NYSE:OKE;USD;14647,34;8635,27;(1.02%);15.93%;(56.44%);(53.44%);32,96;22.58x;2.41x;Oil and Gas Storage and Transportation; 31.258 ; 14.647 ;-53,1%
Oracle Corporation;NYSE:ORCL;USD;167706,46;39217;(1.33%);(6.65%);5.13%;(0.96%);55,7;17.52x;17.93x;Systems Software; 169.941 ; 167.706 ;-1,3%
O'Reilly Automotive, Inc.;NasdaqGS:ORLY;USD;32368,5;11258,7;(1.02%);(4.12%);1.94%;1.84%;446,78;20.00x;46.63x;Automotive Retail; 33.158 ; 32.369 ;-2,4%
Otis Worldwide Corporation;NYSE:OTIS;USD;28729,47;12616;0.24%;4.08%;46.56%;46.56%;66,32;32.91x;NM;Industrial Machinery; -   ; 28.729 ;#DIV/0!
PACCAR Inc;NasdaqGS:PCAR;USD;30756,93;19277,1;(1.40%);(2.34%);12.24%;12.59%;88,78;21.66x;3.06x;Construction Machinery and Heavy Trucks; 27.359 ; 30.757 ;12,4%
Packaging Corporation of America;NYSE:PKG;USD;12222,02;6664;-;10.27%;15.90%;15.77%;129,8;26.12x;3.81x;Paper Packaging; 10.520 ; 12.222 ;16,2%
Parker-Hannifin Corporation;NYSE:PH;USD;34405,12;13591,55;(0.64%);20.11%;29.78%;36.99%;267,12;29.16x;5.30x;Industrial Machinery; 26.441 ; 34.405 ;30,1%
Paychex, Inc.;NasdaqGS:PAYX;USD;32585,11;3980,7;(1.56%);9.71%;6.56%;5.70%;90,64;31.26x;11.91x;Data Processing and Outsourced Services; 30.484 ; 32.585 ;6,9%
Paycom Software, Inc.;NYSE:PAYC;USD;22632,29;813,9;0.02%;4.42%;48.33%;50.50%;392,71;139.40x;35.77x;Application Software; 15.265 ; 22.632 ;48,3%
PayPal Holdings, Inc.;NasdaqGS:PYPL;USD;225749,86;20299;0.93%;(9.57%);78.12%;85.10%;192,67;72.72x;12.10x;Data Processing and Outsourced Services; 127.012 ; 225.750 ;77,7%
Pentair plc;NYSE:PNR;USD;8818,02;2977;(0.49%);3.58%;15.57%;22.77%;53,01;24.76x;4.32x;Industrial Machinery; 7.710 ; 8.818 ;14,4%
People's United Financial, Inc.;NasdaqGS:PBCT;USD;5336,5;1858,6;(1.01%);20.55%;(24.67%);(22.00%);12,73;11.06x;0.71x;Regional Banks; 7.498 ; 5.336 ;-28,8%
PepsiCo, Inc.;NasdaqGS:PEP;USD;198200,2;68557;0.07%;2.74%;4.94%;7.24%;143,42;28.40x;14.70x;Soft Drinks; 190.577 ; 198.200 ;4,0%
PerkinElmer, Inc.;NYSE:PKI;USD;14577,96;3233,64;(0.47%);5.52%;34.08%;43.82%;130,19;35.27x;4.53x;Life Sciences Tools and Services; 10.788 ; 14.578 ;35,1%
Perrigo Company plc;NYSE:PRGO;USD;6566,6;5096,6;(1.43%);7.27%;(6.87%);(1.19%);48,11;NM;1.14x;Pharmaceuticals; 7.031 ; 6.567 ;-6,6%
Pfizer Inc.;NYSE:PFE;USD;203993,16;48649;1.41%;(1.02%);(6.33%);(0.94%);36,7;23.86x;3.08x;Pharmaceuticals; 216.827 ; 203.993 ;-5,9%
Philip Morris International Inc.;NYSE:PM;USD;119492,85;28963;(1.01%);3.94%;(9.82%);(8.09%);76,73;15.55x;NM;Tobacco; 132.389 ; 119.493 ;-9,7%
Phillips 66;NYSE:PSX;USD;26902,52;76845;0.23%;26.42%;(44.72%);(46.93%);61,59;NM;1.36x;Oil and Gas Refining and Marketing; 49.506 ; 26.903 ;-45,7%
Pinnacle West Capital Corporation;NYSE:PNW;USD;9373,68;3516,41;(0.36%);(0.53%);(7.43%);(4.62%);83,25;14.84x;1.61x;Electric Utilities; 10.109 ; 9.374 ;-7,3%
Pioneer Natural Resources Company;NYSE:PXD;USD;15751,83;7651;(0.85%);22.14%;(36.70%);(26.57%);95,81;92.04x;1.36x;Oil and Gas Exploration and Production; 25.074 ; 15.752 ;-37,2%
Pool Corporation;NasdaqGS:POOL;USD;13648,7;3679,6;0.36%;(4.52%);60.03%;61.26%;339,87;42.70x;23.07x;Distributors; 8.503 ; 13.649 ;60,5%
PPG Industries, Inc.;NYSE:PPG;USD;33786,68;13749;(0.13%);6.72%;7.15%;13.08%;143,04;31.51x;6.37x;Specialty Chemicals; 31.565 ; 33.787 ;7,0%
PPL Corporation;NYSE:PPL;USD;22411,32;7632;(0.27%);4.48%;(18.76%);(13.71%);29,15;14.47x;1.64x;Electric Utilities; 25.942 ; 22.411 ;-13,6%
Principal Financial Group, Inc.;NasdaqGS:PFG;USD;13461,68;15023,8;0.14%;19.26%;(10.91%);(9.73%);49;11.11x;0.86x;Life and Health Insurance; 15.272 ; 13.462 ;-11,9%
Prologis, Inc.;NYSE:PLD;USD;74121,89;4418,65;0.28%;(2.32%);12.49%;9.52%;100,27;44.90x;2.31x;Industrial REITs; 56.316 ; 74.122 ;31,6%
Prudential Financial, Inc.;NYSE:PRU;USD;29912,01;60169;(0.18%);14.38%;(19.30%);(18.76%);75,65;NM;0.45x;Life and Health Insurance; 37.683 ; 29.912 ;-20,6%
Public Service Enterprise Group Incorporated;NYSE:PEG;USD;29445,41;9679;1.02%;(2.20%);(1.42%);(4.90%);58,21;15.44x;1.83x;Multi-Utilities; 29.863 ; 29.445 ;-1,4%
Public Storage;NYSE:PSA;USD;39097,22;2950,3;(2.25%);(4.02%);5.02%;4.75%;223,64;34.46x;8.33x;Specialized REITs; 37.200 ; 39.097 ;5,1%
PulteGroup, Inc.;NYSE:PHM;USD;11707,65;10860,63;0.09%;(3.47%);12.55%;10.17%;43,67;9.13x;1.88x;Homebuilding; 10.515 ; 11.708 ;11,3%
PVH Corp.;NYSE:PVH;USD;5457,1;8113,2;(2.56%);24.98%;(27.00%);(21.52%);76,76;NM;1.22x;Apparel, Accessories and Luxury Goods; 7.672 ; 5.457 ;-28,9%
Qorvo, Inc.;NasdaqGS:QRVO;USD;16810,43;3504,59;0.36%;8.97%;26.81%;44.66%;147,39;38.85x;3.80x;Semiconductors; 13.503 ; 16.810 ;24,5%
QUALCOMM Incorporated;NasdaqGS:QCOM;USD;165159,93;23531;(1.02%);13.60%;65.51%;70.56%;146,03;32.31x;27.46x;Semiconductors; 100.745 ; 165.160 ;63,9%
Quanta Services, Inc.;NYSE:PWR;USD;9287,02;11403,29;(1.96%);8.62%;64.28%;58.26%;66,88;24.75x;2.28x;Construction and Engineering; 5.794 ; 9.287 ;60,3%
Quest Diagnostics Incorporated;NYSE:DGX;USD;16820,14;8361;1.63%;1.61%;16.87%;19.00%;124,81;15.39x;2.59x;Health Care Services; 14.384 ; 16.820 ;16,9%
Ralph Lauren Corporation;NYSE:RL;USD;5718,18;4705,8;(2.94%);4.28%;(33.27%);(26.84%);78,22;NM;2.32x;Apparel, Accessories and Luxury Goods; 8.747 ; 5.718 ;-34,6%
Raymond James Financial, Inc.;NYSE:RJF;USD;12090,47;7757;(0.77%);12.61%;(1.06%);(0.52%);88,51;15.18x;1.75x;Investment Banking and Brokerage; 12.410 ; 12.090 ;-2,6%
Raytheon Technologies Corporation;NYSE:RTX;USD;105223,82;83559;(1.90%);15.59%;(53.42%);(52.43%);69,76;NM;1.57x;Aerospace and Defense; 127.850 ; 105.224 ;-17,7%
Realty Income Corporation;NYSE:O;USD;21196,29;1631,08;(1.18%);1.19%;(17.98%);(22.57%);60,39;50.29x;2.05x;Retail REITs; 23.997 ; 21.196 ;-11,7%
Regency Centers Corporation;NasdaqGS:REG;USD;7996,88;1063,27;(1.05%);27.25%;(25.09%);(26.63%);47,26;170.75x;1.34x;Retail REITs; 10.544 ; 7.997 ;-24,2%
Regeneron Pharmaceuticals, Inc.;NasdaqGS:REGN;USD;54750,14;9243,5;0.78%;(9.37%);38.15%;50.69%;518,74;19.01x;5.36x;Biotechnology; 41.049 ; 54.750 ;33,4%
Regions Financial Corporation;NYSE:RF;USD;14512,31;4659;(2.26%);18.14%;(11.95%);(7.92%);15,11;19.11x;0.91x;Regional Banks; 16.553 ; 14.512 ;-12,3%
Republic Services, Inc.;NYSE:RSG;USD;31509,12;10157,1;(1.05%);7.84%;10.30%;12.71%;98,86;30.98x;3.80x;Environmental and Facilities Services; 28.605 ; 31.509 ;10,2%
ResMed Inc.;NYSE:RMD;USD;30580;3027,9;(0.35%);17.80%;36.17%;41.02%;211,02;45.29x;11.45x;Health Care Equipment; 22.283 ; 30.580 ;37,2%
Robert Half International Inc.;NYSE:RHI;USD;6842,41;5342,3;(2.13%);10.25%;(3.42%);4.40%;60,99;21.37x;5.87x;Human Resource and Employment Services; 7.202 ; 6.842 ;-5,0%
Rockwell Automation, Inc.;NYSE:ROK;USD;28769,34;6329,8;(1.00%);4.56%;22.18%;26.21%;247,63;28.24x;28.28x;Electrical Components and Equipment; 23.479 ; 28.769 ;22,5%
Rollins, Inc.;NYSE:ROL;USD;18884,9;2130,91;(1.84%);(2.69%);73.76%;57.52%;57,62;75.93x;20.63x;Environmental and Facilities Services; 10.858 ; 18.885 ;73,9%
Roper Technologies, Inc.;NYSE:ROP;USD;42500,57;5416,6;(1.03%);(3.84%);14.41%;14.78%;405,26;27.33x;4.23x;Industrial Conglomerates; 36.860 ; 42.501 ;15,3%
Ross Stores, Inc.;NasdaqGS:ROST;USD;38801,06;12695,34;(1.10%);18.25%;(6.38%);(1.31%);108,99;126.67x;-;Apparel Retail; 41.781 ; 38.801 ;-7,1%
Royal Caribbean Group;NYSE:RCL;USD;16282,46;4692,08;(2.50%);19.59%;(45.64%);(37.97%);72,58;NM;1.92x;Hotels, Resorts and Cruise Lines; 27.988 ; 16.282 ;-41,8%
S&P Global Inc.;NYSE:SPGI;USD;81390,17;7310;(0.10%);0.11%;23.89%;26.18%;338,28;33.91x;184.33x;Financial Exchanges and Data; 66.733 ; 81.390 ;22,0%
salesforce.com, inc.;NYSE:CRM;USD;234816,4;19380;(2.50%);1.50%;58.66%;57.15%;258,04;99.60x;6.25x;Application Software; 144.262 ; 234.816 ;62,8%
SBA Communications Corporation;NasdaqGS:SBAC;USD;32234,36;2060,89;(2.57%);(5.59%);20.38%;20.50%;290,1;NM;NM;Specialized REITs; 27.136 ; 32.234 ;18,8%
Schlumberger Limited;NYSE:SLB;USD;28132,93;26297;(1.22%);34.64%;(49.73%);(44.08%);20,21;NM;2.39x;Oil and Gas Equipment and Services; 55.652 ; 28.133 ;-49,4%
Seagate Technology plc;NasdaqGS:STX;USD;14288;10245;(0.55%);7.58%;(6.54%);(6.71%);55,61;14.20x;7.91x;Technology Hardware, Storage and Peripherals; 15.631 ; 14.288 ;-8,6%
Sealed Air Corporation;NYSE:SEE;USD;7012,93;4861,2;0.89%;10.03%;13.48%;20.66%;45,2;14.97x;283.72x;Paper Packaging; 6.154 ; 7.013 ;14,0%
Sempra Energy;NYSE:SRE;USD;37622,29;11142;0.13%;0.87%;(13.90%);(11.79%);130,42;20.28x;1.87x;Multi-Utilities; 42.702 ; 37.622 ;-11,9%
ServiceNow, Inc.;NYSE:NOW;USD;101047,6;4220,93;0.73%;1.52%;83.50%;83.06%;518,06;149.12x;37.52x;Systems Software; 53.234 ; 101.048 ;89,8%
Simon Property Group, Inc.;NYSE:SPG;USD;26384,15;4958,79;0.61%;26.34%;(45.54%);(45.27%);81,12;18.43x;14.42x;Retail REITs; 45.711 ; 26.384 ;-42,3%
Skyworks Solutions, Inc.;NasdaqGS:SWKS;USD;23316,21;3355,7;0.74%;(6.65%);16.14%;46.18%;140,39;29.25x;5.54x;Semiconductors; 20.595 ; 23.316 ;13,2%
SL Green Realty Corp.;NYSE:SLG;USD;4269,27;1035,71;1.52%;27.67%;(35.97%);(29.49%);58,83;22.40x;0.88x;Office REITs; 7.361 ; 4.269 ;-42,0%
Snap-on Incorporated;NYSE:SNA;USD;9374,78;3813,5;0.70%;11.37%;2.08%;8.97%;172,92;16.17x;2.57x;Industrial Machinery; 9.291 ; 9.375 ;0,9%
Southwest Airlines Co.;NYSE:LUV;USD;26881,04;12765;(1.17%);14.31%;(15.64%);(19.87%);45,54;NM;2.78x;Airlines; 28.408 ; 26.881 ;-5,4%
Stanley Black & Decker, Inc.;NYSE:SWK;USD;29795,12;13841,2;(0.29%);6.63%;12.20%;21.01%;185,96;30.06x;3.37x;Industrial Machinery; 25.194 ; 29.795 ;18,3%
Starbucks Corporation;NasdaqGS:SBUX;USD;113860,64;23518;(0.77%);9.90%;10.34%;16.04%;97,01;122.80x;NM;Restaurants; 103.834 ; 113.861 ;9,7%
State Street Corporation;NYSE:STT;USD;23972,6;11699;(1.91%);6.17%;(14.10%);(6.93%);67,95;10.83x;1.06x;Asset Management and Custody Banks; 28.763 ; 23.973 ;-16,7%
STERIS plc;NYSE:STE;USD;16727,77;3022,32;0.68%;5.43%;28.62%;29.09%;196,05;39.77x;4.55x;Health Care Equipment; 12.923 ; 16.728 ;29,4%
Stryker Corporation;NYSE:SYK;USD;87506,61;14220;(0.30%);5.41%;10.92%;13.98%;232,86;50.51x;6.76x;Health Care Equipment; 78.602 ; 87.507 ;11,3%
SVB Financial Group;NasdaqGS:SIVB;USD;18488,39;3333,8;0.64%;28.67%;42.18%;56.29%;356,94;17.40x;2.46x;Regional Banks; 12.946 ; 18.488 ;42,8%
Synchrony Financial;NYSE:SYF;USD;17192,68;5908;(2.00%);9.64%;(18.22%);(19.45%);29,45;13.22x;1.54x;Consumer Finance; 23.269 ; 17.193 ;-26,1%
Synopsys, Inc.;NasdaqGS:SNPS;USD;33161,45;3510,92;(1.25%);(3.93%);56.98%;55.15%;218,51;54.11x;7.31x;Application Software; 20.954 ; 33.161 ;58,3%
Sysco Corporation;NYSE:SYY;USD;35655,11;49367,68;(2.76%);9.72%;(18.17%);(12.30%);70;NM;28.19x;Food Distributors; 43.645 ; 35.655 ;-18,3%
T. Rowe Price Group, Inc.;NasdaqGS:TROW;USD;31125,45;5942,5;(1.48%);(5.82%);12.82%;13.67%;137,46;15.46x;4.43x;Asset Management and Custody Banks; 28.471 ; 31.125 ;9,3%
Take-Two Interactive Software, Inc.;NasdaqGS:TTWO;USD;18614,46;3363,12;2.70%;3.34%;38.90%;37.80%;170,05;41.24x;6.24x;Interactive Home Entertainment; 13.134 ; 18.614 ;41,7%
Tapestry, Inc.;NYSE:TPR;USD;7894,96;4775,7;0.21%;38.96%;5.52%;8.92%;28,46;NM;3.11x;Apparel, Accessories and Luxury Goods; 7.442 ; 7.895 ;6,1%
Target Corporation;NYSE:TGT;USD;86285,05;88621;0.55%;5.52%;34.40%;36.29%;172,31;22.86x;6.44x;General Merchandise Stores; 64.969 ; 86.285 ;32,8%
TE Connectivity Ltd.;NYSE:TEL;USD;36606,59;12172;(0.59%);4.51%;15.48%;20.53%;110,68;NM;3.92x;Electronic Manufacturing Services; 32.056 ; 36.607 ;14,2%
TechnipFMC plc;NYSE:FTI;USD;3712,11;13351,3;(2.59%);14.56%;(61.47%);(57.92%);8,26;NM;0.91x;Oil and Gas Equipment and Services; 9.585 ; 3.712 ;-61,3%
Teledyne Technologies Incorporated;NYSE:TDY;USD;14089,56;3111,1;(2.25%);16.26%;10.24%;10.26%;382,02;37.43x;4.76x;Aerospace and Defense; 12.638 ; 14.090 ;11,5%
Teleflex Incorporated;NYSE:TFX;USD;17258,09;2506,93;(0.45%);3.22%;(1.55%);5.00%;370,61;47.76x;5.36x;Health Care Equipment; 17.428 ; 17.258 ;-1,0%
Teradyne, Inc.;NasdaqGS:TER;USD;17656,72;3017,15;(0.13%);15.49%;55.93%;66.53%;106,33;27.20x;8.87x;Semiconductor Equipment; 11.427 ; 17.657 ;54,5%
Texas Instruments Incorporated;NasdaqGS:TXN;USD;143951,68;13735;(0.29%);7.32%;22.24%;34.92%;156,82;29.68x;17.34x;Semiconductors; 119.922 ; 143.952 ;20,0%
Textron Inc.;NYSE:TXT;USD;10255,89;12019;(1.41%);29.77%;0.47%;(2.57%);44,81;37.91x;1.81x;Aerospace and Defense; 10.181 ; 10.256 ;0,7%
The AES Corporation;NYSE:AES;USD;13581,98;9531;(2.20%);1.04%;2.61%;9.78%;20,42;NM;6.93x;Independent Power Producers and Energy Traders; 13.211 ; 13.582 ;2,8%
The Allstate Corporation;NYSE:ALL;USD;30461,53;44245;(0.19%);10.38%;(10.91%);(9.26%);100,18;7.01x;1.21x;Property and Casualty Insurance; 36.429 ; 30.462 ;-16,4%
The Bank of New York Mellon Corporation;NYSE:BK;USD;33566,82;16430;(1.58%);2.63%;(24.74%);(22.50%);37,88;8.30x;0.84x;Asset Management and Custody Banks; 46.414 ; 33.567 ;-27,7%
